Participant ID,Post Order,Post_ID,Trusted_Headline_with_map,Suspicious_Headline_with_map,Trusted_Headline_with_photo,Suspicious_Headline_with_photo,Trusted_Headline_only,Suspicious_Headline_only,Trust,Time,Interest_Maps,Proficiency_Maps,Experienced_Climate,Interest_Climate,Trust_Researchers,Trust_Climate
241,8,5,0,1,0,0,0,0,1,-1.453633978,3,3,4,3,4,4
214,8,6,0,1,0,0,0,0,4,0.536467926,3,3,4,3,3,3
234,4,6,0,1,0,0,0,0,4,0.226444498,5,4,5,3,3,4
228,6,6,0,1,0,0,0,0,4,0.183856462,4,2,4,4,4,4
213,8,6,0,0,0,1,0,0,4,0.13673003,2,1,2,2,4,3
220,6,6,0,1,0,0,0,0,3,1.571473236,4,3,2,2,4,2
102,3,6,0,1,0,0,0,0,3,1.512708686,4,3,4,3,3,3
204,1,6,0,1,0,0,0,0,3,1.143882304,4,2,5,2,4,3
202,1,6,0,1,0,0,0,0,3,1.133673024,4,3,3,3,3,3
210,2,6,0,1,0,0,0,0,3,1.088718844,3,2,4,4,3,3
218,8,6,0,1,0,0,0,0,3,0.664804933,4,3,4,3,3,4
112,8,6,0,1,0,0,0,0,3,0.509939497,5,5,5,5,5,3
222,6,6,0,1,0,0,0,0,3,0.225185668,4,3,3,3,3,3
238,6,6,0,1,0,0,0,0,3,0.089214258,4,3,5,4,4,3
236,7,6,0,1,0,0,0,0,3,0.010090067,3,2,3,3,4,4
216,2,6,0,1,0,0,0,0,3,-0.172423048,4,2,4,2,3,2
212,8,6,0,1,0,0,0,0,3,-0.577812578,3,2,4,3,3,2
224,2,6,0,1,0,0,0,0,3,-1.107286445,4,4,3,3,3,3
105,3,6,0,0,0,1,0,0,3,0.878506308,3,4,4,2,4,4
115,6,6,0,0,0,1,0,0,3,0.128205446,4,5,4,3,4,4
119,2,6,0,0,0,1,0,0,3,-1.0083681,5,4,4,3,4,3
209,6,6,0,0,0,1,0,0,3,-0.293825583,3,2,4,2,5,3
225,2,6,0,0,0,1,0,0,3,2.213605822,4,2,4,2,4,4
229,1,6,0,0,0,1,0,0,3,-0.133157012,4,2,2,3,2,2
235,1,6,0,0,0,1,0,0,3,1.805775414,4,3,4,2,4,3
239,7,6,0,0,0,1,0,0,3,1.740979724,4,3,4,3,3,3
241,7,6,0,0,0,1,0,0,3,0.700957297,3,3,4,3,4,4
208,7,6,0,1,0,0,0,0,2,2.751898207,3,1,3,2,4,4
230,8,6,0,1,0,0,0,0,2,1.606904131,2,1,4,1,4,1
106,4,6,0,1,0,0,0,0,2,1.239870539,4,4,4,4,4,3
110,7,6,0,1,0,0,0,0,2,1.048495379,5,5,4,3,4,3
116,2,6,0,1,0,0,0,0,2,0.982664001,4,4,4,3,4,3
240,6,6,0,1,0,0,0,0,2,0.697229975,4,2,4,3,4,5
206,7,6,0,1,0,0,0,0,2,0.471033642,4,3,5,5,4,2
108,7,6,0,1,0,0,0,0,2,0.223640995,5,3,3,4,5,3
103,7,6,0,0,0,1,0,0,2,0.741436352,4,2,4,5,5,4
107,2,6,0,0,0,1,0,0,2,0.188664143,5,4,4,4,5,4
109,5,6,0,0,0,1,0,0,2,0.686044214,4,2,4,4,3,4
117,8,6,0,0,0,1,0,0,2,-0.390551063,5,4,4,4,5,4
207,1,6,0,0,0,1,0,0,2,0.35278909,4,3,4,3,4,3
211,7,6,0,0,0,1,0,0,2,0.3808303,3,4,3,3,4,4
217,3,6,0,0,0,1,0,0,2,-0.494480184,3,2,4,3,4,4
227,3,6,0,0,0,1,0,0,2,0.527292156,5,4,3,2,4,4
231,8,6,0,0,0,1,0,0,2,-0.126247961,3,1,5,3,4,3
237,6,6,0,0,0,1,0,0,2,0.804353764,5,4,4,5,4,3
104,1,6,0,1,0,0,0,0,1,2.028066226,4,3,3,3,3,2
118,3,6,0,1,0,0,0,0,1,1.009626646,4,3,5,4,5,5
226,7,6,0,1,0,0,0,0,1,0.742547605,2,2,4,1,3,2
232,4,6,0,1,0,0,0,0,1,0.203976751,4,4,3,4,4,3
